amount,created_at,customer,order_id,razorpay_payment_id
17397.54,2026-08-12T00:00:00,Ananya Rao,ORD1088,pay_51050260853
7752.78,2026-08-06T18:00:00,Divya Nair,ORD1089,pay_96231698670
10394.18,2026-08-15T11:00:00,Aditya Kulkarni,ORD1090,pay_74695782031
2470.74,2026-08-11T04:00:00,Meera Pillai,ORD1091,pay_45823387102
19656.18,2026-08-04T08:00:00,Arjun Reddy,ORD1092,pay_96005923904
22461.88,2026-08-06T19:00:00,Ritu Chawla,ORD1093,pay_87899119100
17434.34,2026-08-20T15:00:00,Ananya Rao,ORD1094,pay_17084945823
1880.81,2026-08-19T02:00:00,Meera Pillai,ORD1095,pay_18772620915
11498.72,2026-08-10T00:00:00,Sneha Iyer,ORD1096,pay_80105874252
23684.31,2026-08-07T14:00:00,Karan Malhotra,ORD1097,pay_27558698693
12431.78,2026-08-17T14:00:00,Ritu Chawla,ORD1098,pay_91326688339
13541.04,2026-08-07T17:00:00,Neha Kapoor,ORD1099,pay_66556577423
21195.78,2026-08-17T08:00:00,Karan Malhotra,ORD1100,pay_97989654342
